id,tariff_cost
1,81.11
2,86.24
3,59.73
4,105.93
5,74.43
6,57.58
7,70.46
8,57.99
9,37.31
10,54.12
11,90.44
12,79.03
13,91.53
14,46.98
15,91.85
16,88.93
17,82.38
18,57.5
19,91.65
20,74.9
21,63.92
22,99.18
23,83.96
24,48.93
25,62.49
26,74.97
27,58.49
28,21.54
29,18.34
30,25.82
31,25.07
32,42.15
33,43.56
34,40.03
35,35.98
36,63.22
37,58.4
38,50.02
39,58.77
40,50.73
41,56.21
42,42.0
43,54.68
44,32.23
45,49.72
46,44.38
47,33.13
48,42.38
49,37.22
50,55.39
51,34.19
52,47.66
53,53.0
54,42.63
55,40.67
56,28.82
57,37.91
58,49.39
59,53.48
60,23.56
61,51.53
62,38.81
63,49.33
64,32.87
65,45.61
66,30.01
67,29.18
68,36.86
69,32.74
70,40.83
71,31.88
72,24.3
73,35.42
74,41.25
75,29.17
76,28.89
77,38.08
78,50.87
79,62.95
80,56.84
81,69.13
82,71.51
83,61.35
84,85.58
85,59.02
86,43.01
87,80.42
88,65.56
89,60.6
90,76.01
91,63.29
92,45.6
93,82.99
94,63.24
95,38.35
96,86.87
97,64.42
98,80.4
99,66.74
100,76.27
101,87.72
102,110.66
103,58.37
104,65.25
105,60.83
106,72.44
107,91.95
108,74.68
109,65.86
110,34.92
111,39.28
112,34.18
113,20.36
114,40.93
115,25.97
116,31.81
117,34.61
118,35.33
119,25.87
120,19.76
121,14.81
122,31.04
123,36.74
124,22.09
125,38.82
126,50.47
127,40.98
128,59.63
129,68.28
130,62.03
131,26.24
132,51.33
133,48.31
134,66.07
135,59.54
136,47.12
137,32.17
138,63.4
139,57.7
140,58.04
141,41.54
142,68.87
143,61.03
144,51.15
145,62.15
146,73.1
147,90.84
148,70.96
149,63.82
150,55.47
151,51.08
152,40.71
153,83.62
154,58.94
155,75.71
156,49.98
157,51.78
158,62.05
159,83.24
160,57.34
161,58.94
162,49.45
163,35.16
164,48.07
165,62.85
166,41.94
167,54.35
168,57.39
169,22.45
170,54.61
171,32.55
172,53.55
173,78.76
174,54.93
175,44.04
176,62.01
177,60.42
178,41.67
179,79.42
180,65.73
181,76.1
182,49.34
183,61.99
184,58.92
185,71.49
186,48.17
187,48.24
188,44.97
189,67.36
190,62.78
191,56.16
192,64.2
193,53.14
194,57.83
195,69.49
196,64.4
197,38.68
198,36.01
199,38.26
200,34.0
201,51.33
202,33.9
203,37.8
204,35.95
205,38.07
206,43.88
207,35.31
208,38.44
209,18.53
210,30.87
211,16.53
212,31.52
213,51.33
214,42.37
215,49.77
216,37.46
217,47.93
218,46.14
219,38.08
220,64.41
221,28.4
222,45.3
223,42.74
224,83.41
225,39.45
226,43.22
227,49.01
228,43.57
229,37.73
230,60.79
231,69.71
232,52.46
233,96.09
234,47.0
235,64.34
236,57.23
237,36.33
238,74.2
239,55.51
240,48.79
241,63.46
242,47.89
243,81.96
244,61.19
245,82.7
246,64.68
247,60.87
248,71.79
249,79.45
250,41.94
251,60.33
252,49.52
253,52.25
254,56.04
255,65.56
256,82.65
257,72.76
258,68.05
259,42.74
260,56.97
261,48.85
262,74.8
263,69.99
264,88.84
265,64.68
266,62.68
267,44.44
268,60.89
269,56.24
270,69.26
271,62.17
272,58.14
273,49.85
274,75.5
275,83.96
276,41.34
277,77.94
278,66.01
279,39.18
280,80.0
281,71.56
282,79.13
283,53.98
284,77.26
285,85.08
286,88.43
287,94.42
288,58.48
289,60.25
290,70.87
291,56.93
292,53.1
293,83.06
294,69.29
295,68.32
296,76.76
297,40.45
298,81.47
299,61.83
300,93.95
301,44.48
302,71.62
303,47.91
304,42.72
305,90.35
306,33.64
307,73.42
308,95.91
309,76.74
310,38.61
311,81.66
312,88.32
313,57.07
314,70.37
315,51.6
316,70.79
317,61.7
318,55.22
319,64.16
320,43.65
321,55.18
322,58.36
323,62.15
324,61.26
325,65.74
326,45.1
327,63.0
328,88.76
329,57.39
330,51.0
331,63.78
332,41.07
333,62.31
334,61.27
335,30.73
336,51.76
337,42.81
338,37.18
339,46.76
340,37.33
341,60.87
342,39.08
343,54.09
344,34.27
345,33.25
346,29.11
347,38.26
348,20.03
349,36.8
350,32.42
351,34.28
352,44.85
353,34.01
354,41.52
355,43.28
356,29.66
357,42.54
358,42.09
359,37.3
360,37.41
361,35.37
362,51.71
363,28.01
364,51.39
365,58.31
366,46.55
367,32.08
368,53.95
369,31.94
370,54.79
371,31.16
372,35.8
373,54.91
374,64.99
375,53.14
376,66.58
377,47.46
378,61.34
379,73.02
380,57.08
381,46.23
382,47.54
383,34.75
384,61.97
385,62.14
386,52.63
387,51.97
388,55.14
389,51.71
390,50.57
391,53.99
392,54.28
393,25.94
394,53.64
395,72.94
396,62.93
397,12.42
398,36.22
399,33.3
400,42.6
401,39.86
402,16.98
403,29.25
404,43.88
405,36.75
406,49.32
407,14.75
408,54.13
409,32.74
410,14.44
411,4.27
412,28.65
413,22.81
414,20.16
415,49.27
416,50.03
417,44.9
418,32.61
419,21.61
420,33.51
421,33.79
422,52.18
423,48.41
424,22.09
425,22.19
426,49.38
427,49.38
428,53.33
429,84.65
430,84.16
431,39.15
432,34.26
433,70.55
434,64.04
435,56.9
436,56.45
437,43.41
438,73.74
439,102.18
440,103.24
441,58.49
442,53.2
443,82.17
444,95.25
445,60.66
446,37.56
447,33.15
448,70.63
449,40.4
450,49.5
451,59.05
452,46.36
453,68.48
454,55.99
455,56.57
456,74.86
457,55.72
458,49.67
459,51.34
460,40.78
461,55.86
462,47.04
463,53.86
464,80.38
465,90.33
466,75.43
467,41.41
468,53.71
469,63.81
470,55.3
471,36.71
472,56.63
473,73.01
474,53.74
475,97.43
476,88.65
477,64.58
478,37.4
479,80.16
480,46.6
481,39.62
482,61.7
483,69.16
484,86.75
485,58.31
486,50.83
487,51.49
488,60.36
489,62.5
490,42.48
491,47.6
492,30.95
493,56.27
494,51.45
495,36.87
496,42.55
497,41.07
498,31.62
499,22.2
500,35.35
501,45.82
502,41.99
503,29.45
504,27.99
505,60.06
506,29.81
507,35.95
508,35.23
509,29.38
510,31.75
511,16.86
512,28.72
513,20.21
514,35.81
515,34.59
516,22.18
517,25.5
518,24.06
519,34.41
520,30.49
521,46.8
522,36.64
523,34.43
524,22.18
525,18.65
526,30.79
527,37.48
528,40.61
529,36.94
530,24.56
531,36.6
532,30.07
533,40.99
534,28.71
535,36.65
536,22.18
537,35.32
538,29.04
539,55.95
540,27.55
541,35.0
542,32.23
543,32.86
544,34.9
545,50.15
546,31.13
547,17.34
548,42.67
549,36.47
550,38.42
551,54.77
552,42.05
553,37.44
554,42.49
555,45.33
556,62.22
557,34.38
558,45.47
559,45.8
560,45.73
561,20.81
562,40.44
563,46.38
564,48.11
565,17.35
566,47.89
567,44.95
568,33.27
569,45.13
570,50.38
571,23.57
572,37.04
573,18.05
574,52.97
575,32.4
576,48.58
577,43.29
578,21.09
579,38.54
580,36.05
581,62.99
582,41.19
583,52.98
584,30.25
585,36.78
586,32.96
587,33.35
588,33.3
589,31.28
590,26.48
591,43.01
592,43.05
593,47.09
594,29.7
595,39.73
596,38.2
597,34.22
598,48.15
599,31.67
600,34.96
601,31.79
602,50.56
603,50.93
604,38.66
605,51.36
606,59.19
607,43.81
608,49.19
609,43.72
610,47.67
611,70.54
612,60.93
613,51.44
614,38.35
615,51.19
616,45.36
617,32.86
618,52.02
619,26.39
620,35.75
621,43.82
622,29.12
623,38.09
624,31.94
625,30.87
626,29.01
627,36.51
628,31.25
629,39.03
630,46.54
631,22.8
632,29.69
633,42.33
634,45.88
635,43.16
636,50.73
637,46.76
638,46.23
639,50.05
640,60.36
641,33.14
642,47.02
643,36.8
644,53.02
645,51.44
646,46.53
647,52.52
648,36.2
649,38.94
650,47.48
651,44.91
652,36.18
653,54.93
654,46.9
655,45.48
656,40.62
657,63.0
658,37.31
659,42.03
660,45.1
661,39.94
662,49.72
663,33.69
664,42.95
665,46.07
666,46.2
667,59.19
668,55.88
669,35.66
670,50.48
671,69.87
672,84.75
673,72.84
674,54.6
675,76.98
676,76.12
677,68.01
678,72.72
679,41.36
680,63.67
681,51.11
682,67.1
683,54.33
684,69.57
685,68.87
686,75.12
687,65.9
688,48.45
689,39.49
690,29.76
691,69.05
692,60.51
693,44.53
694,45.15
695,46.87
696,41.8
697,50.99
698,46.02
699,56.61
700,60.18
701,64.06
702,35.56
703,68.1
704,55.61
705,55.91
706,63.22
707,43.57
708,42.63
709,83.1
710,73.62
711,45.98
712,61.69
713,72.17
714,70.08
715,37.74
716,63.01
717,58.26
718,72.87
719,43.4
720,58.03
721,64.64
722,39.77
723,53.71
724,44.34
725,92.7
726,67.9
727,66.73
728,51.2
729,52.48
730,53.09
731,69.58
732,66.26
733,82.96
734,65.83
735,54.44
736,91.39
737,61.37
738,60.44
739,66.77
740,59.31
741,54.81
742,52.65
743,86.48
744,46.28
745,63.54
746,64.88
747,63.18
748,45.58
749,84.87
750,87.66
751,29.82
752,37.63
753,63.43
754,93.24
755,50.04
756,82.44
757,29.19
758,37.99
759,77.82
760,50.2
761,83.47
762,98.75
763,63.15
764,70.44
765,77.8
766,42.69
767,68.6
768,51.95
769,61.78
770,73.21
771,57.2
772,59.77
773,57.58
774,72.74
775,38.94
776,53.41
777,43.03
778,59.2
779,29.8
780,35.09
781,55.12
782,51.09
783,62.01
784,75.45
785,59.09
786,34.45
787,37.15
788,37.35
789,30.05
790,35.89
791,33.96
792,19.75
793,56.5
794,58.17
795,27.61
796,48.31
797,42.88
798,52.28
799,59.5
800,25.71
801,66.35
802,54.84
803,52.92
804,24.55
805,57.46
806,45.42
807,55.63
808,48.16
809,53.98
810,63.0
811,55.94
812,54.58
813,57.79
814,48.13
815,23.44
816,76.2
817,64.94
818,47.43
819,81.32
820,40.13
821,44.64
822,62.12
823,75.93
824,67.33
825,85.3
826,103.17
827,59.99
828,82.05
829,58.52
830,57.93
831,69.14
832,95.15
833,40.34
834,54.72
835,58.55
836,58.42
837,67.92
838,75.88
839,40.06
840,52.36
841,55.26
842,96.16
843,51.4
844,59.27
845,90.07
846,83.11
847,87.64
848,59.54
849,71.01
850,42.55
851,70.44
852,69.34
853,79.06
854,47.55
855,63.34
856,60.87
857,84.02
858,42.68
859,36.05
860,84.77
861,69.18
862,73.67
863,63.12
864,60.05
865,54.69
866,65.47
867,62.34
868,54.14
869,58.02
870,59.53
871,80.3
872,55.74
873,74.15
874,34.44
875,82.55
876,50.84
877,66.51
878,71.75
879,45.96
880,80.65
881,68.59
882,33.77
883,69.79
884,38.63
885,71.76
886,42.94
887,71.94
888,52.0
889,47.66
890,40.64
891,49.24
892,81.43
893,49.15
894,79.79
895,77.88
896,80.52
897,86.8
898,74.82
899,65.12
900,85.55
901,60.16
902,54.98
903,47.24
904,51.11
905,59.52
906,42.86
907,48.27
908,42.84
909,36.46
910,38.38
911,43.32
912,41.2
913,42.78
914,63.9
915,43.53
916,34.58
917,39.99
918,18.51
919,51.88
920,32.72
921,68.51
922,42.08
923,43.35
924,45.9
925,54.65
926,53.24
927,22.74
928,26.74
929,39.03
930,14.62
931,31.86
932,29.08
933,29.34
934,47.49
935,40.83
936,43.63
937,28.88
938,35.75
939,42.41
940,23.9
941,39.31
942,20.18
943,46.01
944,62.09
945,35.26
946,37.31
947,68.56
948,68.86
949,49.6
950,89.38
951,66.37
952,51.26
953,76.19
954,70.47
955,92.55
956,54.02
957,90.51
958,72.35
959,75.78
960,55.17
961,72.02
962,60.12
963,69.57
964,68.28
965,76.48
966,69.8
967,74.49
968,53.54
969,57.12
970,51.38
971,51.17
972,31.57
973,46.08
974,96.0
975,65.88
976,51.71
977,74.97
978,75.67
979,55.6
980,67.58
981,56.27
982,80.81
983,81.72
984,62.49
985,77.65
986,63.06
987,82.0
988,65.56
989,94.47
990,74.73
991,55.15
992,76.48
993,60.98
994,54.67
995,70.19
996,50.04
997,65.92
998,33.79
999,53.35
1000,56.89
1001,36.48
1002,56.98
1003,50.1
1004,66.78
1005,53.55
1006,30.81
1007,45.74
1008,38.18
1009,64.03
1010,26.57
1011,50.78
1012,45.31
1013,45.65
1014,45.4
1015,41.52
1016,42.66
1017,15.65
1018,26.91
1019,22.11
1020,30.68
1021,41.38
1022,17.39
1023,25.98
1024,16.57
1025,22.74
1026,14.86
1027,13.12
1028,28.33
1029,24.19
1030,12.81
1031,24.05
1032,25.85
1033,14.36
1034,23.59
1035,23.74
1036,35.24
1037,26.52
1038,13.96
1039,30.43
1040,15.35
1041,31.95
1042,24.28
1043,28.61
1044,35.76
1045,31.16
1046,20.34
1047,40.05
1048,32.58
1049,27.99
1050,50.24
1051,34.78
1052,12.04
1053,43.47
1054,41.89
1055,56.48
1056,13.54
1057,32.64
1058,33.22
1059,22.85
1060,46.85
1061,27.28
1062,44.01
1063,28.25
1064,46.47
1065,36.63
1066,32.62
1067,46.97
1068,60.62
1069,52.62
1070,46.29
1071,42.35
1072,52.18
1073,52.58
1074,48.91
1075,27.71
1076,50.01
1077,43.52
1078,52.54
1079,51.25
1080,44.21
1081,5.71
1082,28.32
1083,27.38
1084,19.47
1085,27.56
1086,30.33
1087,22.54
1088,34.05
1089,21.35
1090,20.47
1091,52.2
1092,65.26
1093,39.96
1094,44.95
1095,35.63
1096,68.17
1097,56.33
1098,69.91
1099,45.87
1100,61.54
1101,73.99
1102,56.35
1103,48.66
1104,58.9
1105,42.3
1106,79.96
1107,78.55
1108,72.82
1109,35.57
1110,69.21
1111,50.9
1112,48.93
1113,66.63
1114,89.36
1115,82.53
1116,58.99
1117,49.46
1118,38.83
1119,42.67
1120,72.16
1121,49.29
1122,60.83
1123,86.81
1124,54.6
1125,57.06
1126,56.76
1127,62.87
1128,64.09
1129,24.42
1130,56.76
1131,64.64
1132,52.05
1133,39.86
1134,44.69
1135,41.68
1136,46.52
1137,50.24
1138,56.28
1139,54.01
1140,57.89
1141,41.41
1142,83.17
1143,64.81
1144,78.66
1145,77.79
1146,54.59
1147,58.5
1148,97.02
1149,68.1
1150,59.62
1151,43.47
1152,41.15
1153,62.05
1154,62.85
1155,73.26
1156,67.66
1157,72.75
1158,57.97
1159,41.44
1160,59.75
1161,63.04
1162,66.85
1163,82.86
1164,32.14
1165,83.58
1166,77.11
1167,58.81
1168,60.58
1169,49.82
1170,52.8
1171,52.77
1172,58.95
1173,52.0
1174,50.73
1175,33.56
1176,49.62
1177,49.91
1178,53.35
1179,45.86
1180,45.28
1181,42.87
1182,55.11
1183,40.22
1184,40.67
1185,27.37
1186,57.89
1187,70.99
1188,62.61
1189,54.72
1190,44.58
1191,41.03
1192,60.3
1193,50.0
1194,49.3
1195,60.7
1196,44.42
1197,59.49
1198,39.17
1199,32.14
1200,56.8
1201,48.77
1202,57.63
1203,71.95
1204,74.43
1205,73.07
1206,50.14
1207,52.5
1208,76.94
1209,67.13
1210,64.25
1211,60.15
1212,39.06
1213,40.23
1214,71.2
1215,75.61
1216,63.86
1217,59.18
1218,70.74
1219,66.91
1220,78.67
1221,35.55
1222,58.42
1223,48.74
1224,54.26
1225,43.03
1226,50.9
1227,48.71
1228,44.71
1229,37.3
1230,49.75
1231,45.26
1232,43.89
1233,39.61
1234,41.53
1235,54.91
1236,40.69
1237,27.46
1238,36.89
1239,25.89
1240,82.42
1241,52.05
1242,50.45
1243,56.15
1244,52.78
1245,55.86
1246,67.68
1247,47.94
1248,52.14
1249,79.74
1250,82.01
1251,73.54
1252,71.04
1253,74.77
1254,44.81
1255,78.03
1256,54.1
1257,74.67
1258,39.96
1259,49.13
1260,51.65
1261,45.98
1262,53.76
1263,57.74
1264,67.71
1265,54.06
1266,43.16
1267,61.9
1268,69.71
1269,64.48
1270,55.55
1271,28.75
1272,43.8
1273,48.94
1274,60.38
1275,48.43
1276,54.31
1277,71.98
1278,63.19
1279,44.11
1280,44.85
1281,60.93
1282,64.02
1283,41.72
1284,64.77
1285,61.48
1286,53.99
1287,52.96
1288,65.5
1289,42.03
1290,58.76
1291,38.41
1292,62.73
1293,53.82
1294,62.73
1295,74.39
1296,58.69
1297,56.17
1298,59.95
1299,44.48
1300,66.4
1301,75.64
1302,52.17
1303,81.98
1304,64.46
1305,57.94
1306,60.43
1307,70.54
1308,76.29
1309,59.46
1310,67.28
1311,52.62
1312,45.38
1313,70.28
1314,90.96
1315,57.48
1316,57.29
1317,70.92
1318,79.49
1319,48.96
1320,85.61
1321,67.85
1322,57.76
1323,84.87
1324,80.99
1325,49.19
1326,47.88
1327,58.67
1328,70.61
1329,82.09
1330,73.72
1331,65.44
1332,61.23
1333,61.5
1334,48.59
1335,64.86
1336,81.91
1337,38.34
1338,49.19
1339,48.06
1340,52.61
1341,81.62
1342,49.19
1343,80.57
1344,67.42
1345,86.59
1346,76.67
1347,51.08
1348,68.15
1349,62.39
1350,55.51
1351,51.21
1352,41.03
1353,60.55
1354,44.98
1355,52.98
1356,49.77
1357,57.87
1358,67.52
1359,20.93
1360,57.6
1361,37.1
1362,43.74
1363,27.8
1364,28.83
1365,44.21
1366,30.29
1367,22.37
1368,45.82
1369,30.83
1370,23.63
1371,22.66
1372,43.13
1373,49.78
1374,27.93
1375,44.53
1376,28.72
1377,16.92
1378,32.78
1379,30.24
1380,41.38
1381,36.59
1382,37.42
1383,26.19
1384,40.83
1385,68.94
1386,54.92
1387,75.71
1388,35.8
1389,62.54
1390,41.33
1391,69.78
1392,35.97
1393,35.42
1394,51.12
1395,37.11
1396,40.3
1397,68.82
1398,68.05
1399,53.92
1400,45.18
1401,29.38
1402,34.31
1403,73.96
1404,46.68
